Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
ConstantConditions;Java/Probable bugs;Constant conditions & exceptions;JAVA;LOCAL;2.81;32.75%;0;2
WriteOnlyObject;Java/Probable bugs;Write-only object;JAVA;LOCAL;2.02;23.54%;0;2
Contract;Java/Probable bugs;Contract issues;JAVA;LOCAL;0.77;8.96%;0;2
JavaAnnotator;General;Java annotator;none;LOCAL;0.40;4.65%;0;34
removal;Java/Code maturity;Usage of API marked for removal;JAVA;LOCAL;0.30;3.45%;0;3
InjectedReferences;General;Injected references;none;LOCAL;0.29;3.43%;0;4
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.29;3.36%;0;11
KotlinInternalInJava;Kotlin/Java interop issues;Usage of Kotlin internal declarations from Java;JAVA;LOCAL;0.28;3.22%;0;3
KotlinMavenPluginPhase;Kotlin;Kotlin Maven Plugin misconfigured;XML;LOCAL;0.26;3.07%;0;11
StaticInitializerReferencesSubClass;Java/Threading issues;Static initializer references subclass;JAVA;LOCAL;0.21;2.47%;0;3
MavenCoroutinesDeprecation;Kotlin/Migration/Maven;Incompatible kotlinx.coroutines dependency is used with Kotlin 1.3+ in Maven;XML;LOCAL;0.11;1.26%;0;11
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.11;1.24%;0;3
MagicConstant;Java/Probable bugs;Magic Constant;JAVA;LOCAL;0.06;0.68%;0;3
DataProviderReturnType;Java/TestNG;Invalid data provider return type;JAVA;LOCAL;0.05;0.56%;0;1
InvalidBundleOrProperty;Kotlin;Invalid property key;none;LOCAL;0.04;0.49%;0;34
NotNullFieldNotInitialized;Java/Probable bugs/Nullability problems;@NotNull field is not initialized;JAVA;LOCAL;0.04;0.44%;0;1
DifferentMavenStdlibVersion;Kotlin;Library and maven plugin versions are different;XML;LOCAL;0.03;0.38%;0;11
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.03;0.38%;0;11
JUnitMalformedDeclaration;JVM languages/Test frameworks;JUnit malformed declaration;UAST;LOCAL;0.03;0.38%;0;2
SuspiciousMethodCalls;Java/Probable bugs;Suspicious collection method call;JAVA;LOCAL;0.03;0.38%;0;2
UnresolvedPropertyKey;Java/Properties files;Invalid property key;JAVA;LOCAL;0.03;0.37%;0;3
KotlinAnnotator;General;Kotlin annotator;none;LOCAL;0.03;0.35%;0;34
Dependency;JVM languages;Illegal package dependencies;UAST;LOCAL;0.02;0.27%;0;3
SuspiciousNameCombination;Java/Probable bugs;Suspicious variable/parameter name combination;JAVA;LOCAL;0.02;0.27%;0;3
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.02;0.24%;0;1
DifferentKotlinMavenVersion;Kotlin;Maven and IDE plugins versions are different;XML;LOCAL;0.02;0.22%;0;11
NonSynchronizedMethodOverridesSynchronizedMethod;Java/Threading issues;Unsynchronized method overrides 'synchronized' method;JAVA;LOCAL;0.02;0.21%;0;3
SlowListContainsAll;Java/Performance;Call to 'list.containsAll(collection)' may have poor performance;JAVA;LOCAL;0.01;0.17%;0;3
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.01;0.15%;0;2
TestFailedLine;JVM languages/Test frameworks;Failed line in test;UAST;LOCAL;0.01;0.15%;0;2
UnnecessaryStringEscape;Java/Verbose or redundant code constructs;Unnecessarily escaped character;JAVA;LOCAL;0.01;0.14%;0;3
ResultOfMethodCallIgnored;Java/Probable bugs;Result of method call ignored;JAVA;LOCAL;0.01;0.14%;0;2
JavacQuirks;Java/Compiler issues;Javac quirks;JAVA;LOCAL;0.01;0.12%;0;3
ImplicitSubclassInspection;Java/Inheritance issues;Final declaration can't be overridden at runtime;UAST;LOCAL;0.01;0.12%;0;2
ThrowableNotThrown;Java/Probable bugs;'Throwable' not thrown;JAVA;LOCAL;0.01;0.12%;0;3
FinalizeNotProtected;Java/Finalization;'finalize()' should be protected, not public;JAVA;LOCAL;0.01;0.10%;0;3
LocalVariableUsedAndDeclaredInDifferentSwitchBranches;Java/Control flow issues;Local variable used and declared in different 'switch' branches;JAVA;LOCAL;0.01;0.08%;0;2
FieldAccessedSynchronizedAndUnsynchronized;Java/Threading issues;Field accessed in both 'synchronized' and unsynchronized contexts;JAVA;LOCAL;0.01;0.08%;0;3
CollectionAddAllCanBeReplacedWithConstructor;Java/Performance;Redundant 'Collection.addAll()' call;JAVA;LOCAL;0.01;0.08%;0;2
ExcessiveLambdaUsage;Java/Verbose or redundant code constructs;Excessive lambda usage;JAVA;LOCAL;0.01;0.07%;0;3
